"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"DRM2","BLK 112C DEPOT ROAD","25165.8976","29305.1091","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","14","2.15","N","29305.1091 25165.8976","103.80785308038944 1.2812993757006361","No"
"DRM3","108A DEPOT ROAD","25390.1316","29254.1321","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","11","2.15","N","29254.1321 25390.1316","103.80986791310715 1.2808383769937857","No"
"DRM4","BLK 105 DEPOT ROAD","25668.1428","29257.6985","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","3","2.15","N","29257.6985 25668.1428","103.81236594973764 1.280870652054587","No"
"DRM5","BLOCK 110 DEPOT ROAD","25346.6693","29308.7018","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","Y","29308.7018 25346.6693","103.80947738316917 1.2813318825559303","No"
"DRS","BLK 102A/102B DEPOT ROAD","25737.9080","29213.3689","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","2.15","N","29213.3689 25737.9080","103.81299281989986 1.2804697558033025","No"
"DSRL","BLK 38A MARGARET DRIVE","24864.8825","31078.2080","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","31078.2080 24864.8825","103.80514816792643 1.2973346289648868","No"
"DSR1","BLK 31A MARGARET DRIVE","24685.6441","31202.2045","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","16","2.15","N","31202.2045 24685.6441","103.80353761899174 1.2984559909642104","No"
"DSR2","BLK 37A MARGARET DRIVE","24885.2300","31140.1423","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","21","2.15","N","31140.1423 24885.2300","103.80533099300017 1.2978947429610392","No"
"DUXM","BLK 1 CANTONMENT ROAD","28860.8985","28827.1925","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","3","2.10","Y","28827.1925 28860.8985","103.841054070432 1.2769773813172844","Yes"
"DWSO","BLK 40 & 41 MARGARET DRIVE","25064.6593","30982.3473","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","16","2.15","N","30982.3473 25064.6593","103.80694325929501 1.29646771808721","No"
"DWSP","BLK 95A DAWSON ROAD","25620.1022","30938.7202","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","13","2.15","N","30938.7202 25620.1022","103.81193415972352 1.29607321736465","No"
"DWST","BLK 89A DAWSON ROAD","25626.2862","30840.6986","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","4","2.15","N","30840.6986 25626.2862","103.81198973307625 1.2951867450181442","No"
"DWSV","BLK 85 DAWSON ROAD","25362.2059","30853.9755","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","13","2.15","N","30853.9755 25362.2059","103.80961685626245 1.2953067953956658","No"
"DWVT","BLK 78A DAWSON ROAD","25420.9278","30734.4029","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","13","2.15","N","30734.4029 25420.9278","103.81014450777538 1.2942254278456526","No"
